"fdc_id","nutrient_id","amount"
"167671","1004","11.51"
"167671","1005","15.58"
"167671","1008","192"
"167671","1003","6.46"
"167672","1003","3.41"
"167672","1004","14.13"
"167672","1005","35.2"
"167672","1008","282"
"167673","1004","7.34"
"167673","1005","0.14"
"167673","1008","182"
"167673","1003","28.9"
"167674","1004","13.55"
"167674","1005","20.61"
"167674","1008","252"
"167674","1003","11.87"
"167675","1003","12.9"
"167675","1004","16.36"
"167675","1005","23.99"
"167675","1008","295"
"167676","1004","6.98"
"167676","1005","6.87"
"167676","1008","129"
"167676","1003","9.76"
"167677","1004","2.35"
"167677","1005","20.16"
"167677","1008","121"
"167677","1003","4.77"
"167678","1003","8.18"
"167678","1004","4.56"
"167678","1005","5.38"
"167678","1008","95"
"167679","1004","12.68"
"167679","1005","22.46"
"167679","1008","262"
"167679","1003","14.46"
"167680","1004","3.59"
"167680","1005","16.4"
"167680","1008","121"
"167680","1003","5.79"
"167681","1003","0.45"
"167681","1004","0.04"
"167681","1005","87.38"
"167681","1008","218"
"167682","1005","2.1"
"167682","1008","11"
"167682","1004","0"
"167682","1003","0"
"167683","1004","10.1"
"167683","1003","6.4"
"167683","1005","26.11"
"167683","1008","221"
"167684","1004","14"
"167684","1005","7"
"167684","1008","160"
"167684","1003","1.5"
"167685","1003","11.5"
"167685","1004","19.3"
"167685","1005","2.6"
"167685","1008","230"
"167686","1004","1"
"167686","1005","37.7"
"167686","1008","167"
"167686","1003","4.3"
"167687","1003","3"
"167687","1004","13.1"
"167687","1005","23.6"
"167687","1008","224"
"167688","1003","1.9"
"167688","1004","15.7"
"167688","1005","73.4"
"167688","1008","431"
"167689","1004","29.32"
"167689","1005","56.89"
"167689","1008","529"
"167689","1003","10.16"
"167690","1008","93"
"167690","1003","0.8"
"167690","1004","1.6"
"167690","1005","19.5"
"167691","1004","53"
"167691","1005","0"
"167691","1008","465"
"167691","1003","0"
"167692","1004","2.7"
"167692","1008","86"
"167692","1005","13.2"
"167692","1003","2.1"
"167693","1003","0.4"
"167693","1004","13"
"167693","1005","27"
"167693","1008","227"
"167694","1004","23"
"167694","1005","0.7"
"167694","1008","307"
"167694","1003","22.7"
"167695","1004","31.79"
"167695","1005","3.06"
"167695","1008","322"
"167695","1003","5.95"
"167696","1005","1.6"
"167696","1003","12"
"167696","1008","140"
"167696","1004","9.5"
"167697","1004","2"
"167697","1005","5.3"
"167697","1008","56"
"167697","1003","4.1"
"167698","1003","13.7"
