"fdc_id","nutrient_id","amount"
"790991","1003","0.74"
"790991","1008","97.0"
"790991","1005","23.0"
"790991","1004","0.29"
"1104647","1003","6.62"
"1104647","1004","0.38"
"1104647","1008","143.0"
"1104647","1005","28.2"
"1104647","2048","130"
"1104647","2047","143"
"1104705","1005","32.9"
"1104705","1008","366.0"
"1104705","1003","51.1"
"1104705","1004","3.33"
"1104705","2047","366"
"1104705","2048","339"
"1104766","1005","27.9"
"1104766","1004","20.7"
"1104766","1008","452.0"
"1104766","1003","38.6"
"1104766","2047","452"
"1104766","2048","421"
"1104812","1005","75.5"
"1104812","1003","7.19"
"1104812","1008","365.25"
"1104812","1004","3.85"
"1104812","2047","365"
"1104812","2048","368"
"1104867","1003","6.69"
"1104867","1004","1.16"
"1104867","1008","358.0"
"1104867","1005","80.1"
"1104867","2047","358"
"1104867","2048","368"
"1104913","1008","358.0"
"1104913","1004","1.64"
"1104913","1003","8.75"
"1104913","1005","77.2"
"1104913","2047","359"
"1104913","2048","367"
"1104962","1004","0.13"
"1104962","1008","35.0"
"1104962","1005","7.68"
"1104962","1003","0.89"
"1104962","2047","36"
"1104962","2048","33"
"1105073","1003","0.73"
"1105073","1008","85.0"
"1105073","1005","20.1"
"1105073","1004","0.22"
"1105073","2047","85"
"1105073","2048","77"
"1105314","1008","97.0"
"1105314","1005","23.0"
"1105314","1004","0.29"
"1105314","1003","0.74"
"1105314","2047","98"
"1105314","2048","88"
"1105430","1003","0.19"
"1105430","1005","14.8"
"1105430","1004","0.21"
"1105430","1008","62.0"
"1105430","2047","62"
"1105430","2048","56"
"1105547","1008","60.0"
"1105547","1004","0.1"
"1105547","1003","0.1"
"1105547","1005","14.7"
"1105547","2047","60"
"1105547","2048","54"
"1105664","1003","0.27"
"1105664","1008","59.0"
"1105664","1004","0.14"
"1105664","1005","14.2"
"1105664","2047","59"
"1105664","2048","53"
"1105781","1004","0.15"
"1105781","1003","0.13"
"1105781","1005","14.8"
"1105781","1008","61.0"
"1105781","2047","61"
"1105781","2048","55"
"1105897","1008","65.0"
"1105897","1004","0.16"
"1105897","1003","0.15"
"1105897","1005","15.7"
"1105897","2047","65"
"1105897","2048","58"
"1750337","2048","38.485"
"1750337","2047","38.485"
"1750337","1005","1.293125"
"1750337","1003","3.546875"
"1750337","1004","2.125"
"1750338","2048","14.5562"
"1750338","2047","14.5562"
"1750338","1005","0.3371125"
"1750338","1003","0.5546875"
"1750338","1004","1.221"
"1750339","2048","55.622745"
"1750339","2047","61.7893"
"1750339","1005","14.7817"
"1750339","1003","0.1875"
"1750339","1004","0.2125"
"1750340","2048","58.20306"
"1750340","2047","64.6609"
"1750340","1005","15.6511625"
"1750340","1003","0.1484375"
"1750340","1004","0.1625"
"1750341","2048","54.866865"
"1750341","2047","60.9536"
"1750341","1005","14.7680875"
"1750341","1003","0.1328125"
"1750341","1004","0.15"
"1750342","2048","52.958085"
"1750342","2047","58.8719"
"1750342","1005","14.142975"
"1750342","1003","0.265625"
"1750342","1004","0.1375"
"1750343","2048","54.033225"
"1750343","2047","60.034"
"1750343","1005","14.6819375"
"1750343","1003","0.1015625"
"1750343","1004","0.1"
"1750344","2048","35.107387"
"1750344","2047","42.6655"
"1750344","1005","7.5897"
"1750344","1003","2.5"
"1750344","1004","0.2563"
"1750345","2048","33.31965"
"1750345","2047","41.0475"
"1750345","1005","6.94125"
"1750345","1003","2.89875"
"1750345","1004","0.1875"
"1750346","2048","36.3915875"
"1750346","2047","44.095"
"1750346","1005","8.170625"
"1750346","1003","2.414375"
"1750346","1004","0.195"
"1750347","2048","24.8732585"
"1750347","2047","31.2172"
"1750347","1005","4.079375"
"1750347","1004","0.3708"
"1750347","1003","2.890625"
"1750352","2048","20.72851125"
"1750352","2047","26.602"
"1750352","1005","2.406325"
"1750352","1003","2.851875"
"1750352","1004","0.6188"
"1750353","2048","21.5796975"
"1750353","2047","27.63"
"1750353","1005","2.64135"
"1750353","1003","2.90625"
"1750353","1004","0.6044"
"1750354","2048","18.95436075"
"1750354","2047","21.9574"
"1750354","1005","3.837475"
"1750354","1003","0.695625"
"1750354","1004","0.425"
"1999626","2048","35.107387"
"1999626","2047","42.6655"
"1999626","1005","7.5897"
"1999626","1003","2.5"
"1999626","1004","0.2563"
"1999627","2048","33.31965"
"1999627","2047","41.0475"
"1999627","1005","6.94125"
"1999627","1003","2.89875"
"1999627","1004","0.1875"
"1999628","2048","36.3915875"
"1999628","2047","44.095"
"1999628","1005","8.170625"
"1999628","1003","2.414375"
"1999628","1004","0.195"
"1999629","2048","24.8732585"
"1999629","2047","31.2172"
"1999629","1005","4.079375"
"1999629","1003","2.890625"
"1999629","1004","0.3708"
"1999630","2048","38.485"
